article	aid	url	img	iid	hashvalue	title	text	imgFile
516607127	128795	https://www.ksta.de/panorama/versehentlicher-schuss-polizei-azubi-erschiesst-mutmasslich-mit-auszubildenden-32123474	https://www.ksta.de/image/32123478/2x1/300/150/59fa011f81fbf284a621f907384feb4e/EX/dpa-polizist-vor-polizeiauto.jpg	129437	3212347859fa011f81fbf284a621f907384feb4eEX	Polizei-Azubi erschießt mutmaßlich Mit-Auszubildenden	Ein Polizei-Azubi hat in Würzburg offenbar versehentlich einen Mit-Auszubildenden erschossen. Der junge Polizeianwärter wurde angeschossen und erlag kurz danach im Krankenhaus seinen Verletzungen, wie Polizei und Staatsanwaltschaft am frühen Freitagmorgen	3212347859fa011f81fbf284a621f907384feb4eEX.jpg
516607511	128797	https://www.ksta.de/region/rhein-berg-oberberg/bergisch-gladbach/29-jaehriger-erstochen-hauptverdaechtiger-in-tuerkei-gefasst---und-wieder-freigelassen-32121570	https://www.ksta.de/image/32121562/2x1/300/150/46106c78be3c295f6c249243e7058fd5/sI/ali-t--280219.jpg	129439	3212156246106c78be3c295f6c249243e7058fd5sI	Hauptverdächtiger in Türkei gefasst – und wieder freigelassen	Im Fall des vor über sechs Jahren am S-Bahnhof Bergisch Gladbach erstochenen Manns gibt es eine überraschende Entwicklung: Wie türkische Medien berichteten, hat die Polizei im zentraltürkischen Konya den Hauptverdächtigen festgenommen. Nach Auskunft der S	3212156246106c78be3c295f6c249243e7058fd5sI.jpg
516607517	128798	https://www.ksta.de/region/rhein-erft/elsdorf/elsdorf-rhein-erft-kreis-stoppt-kita-bonus-fuer-staedtische-mitarbeiter-32121200	https://www.ksta.de/image/31843650/2x1/300/150/137211162bf87576d0c05f511543a135/sW/kita-symbol.jpg	129440	31843650137211162bf87576d0c05f511543a135sW	Rhein-Erft-Kreis stoppt Kita-Bonus für städtische Mitarbeiter	Die Beitragsermäßigung bei den Gebühren für den Besuch der Kindertagesstätten für Kinder städtische Mitarbeiter ist rechtlich bedenklich. Das teilte der Rhein-Erft-Kreis als kommunale Aufsichtsbehörde aufgrund einer Kommunalaufsichtsbeschwerde mit. Der Ju	31843650137211162bf87576d0c05f511543a135sW.jpg
516608761	128800	https://www.ksta.de/koeln/kapazitaetsgrenzen-erreicht-kvb-fahrgastzahlen-sind-grund-zur-freude-und-sorge-32109238	https://www.ksta.de/image/32109228/2x1/300/150/ac78dba1dbaa05d314aab14527f9410/Hg/bahnsteig-station-dom-hauptbahnhof.jpg	129442	32109228ac78dba1dbaa05d314aab14527f9410Hg	KVB-Fahrgastzahlen sind Grund zur Freude und Sorge	Die Chefs der Kölner Verkehrs-Betriebe (KVB) sind angesichts der aktuellen Fahrgastzahlen zwischen Freude und Sorge hin- und hergerissen. Im Jahr 2018 waren so viele Menschen wie noch zuvor mit den Bahnen und Bussen des Unternehmens unterwegs – die Statis	32109228ac78dba1dbaa05d314aab14527f9410Hg.jpg
516610114	128801	https://www.ksta.de/politik/rnd/interview-mit-cdu-chefin--wir-wollen-eine-ruestungsindustrie-in-deutschland--32123504	https://www.ksta.de/image/32123522/2x1/300/150/bd59de152a53ff950e54659d97b111e8/sP/annegret-kramp-karrenbaur-cdu.jpg	129443	32123522bd59de152a53ff950e54659d97b111e8sP	„Wir wollen eine Rüstungsindustrie in Deutschland“	Fast 100 Tage ist Annegret Kramp-Karrenbauer CDU-Chefin. Und eines hat sie nicht verändert: In der Parteizentrale sitzt sie weiter im fünften Stock, im bisherigen Generalsekretärs-Büro. Das Büro der Parteivorsitzenden im sechsten Stock, soll als Sitzungsr	32123522bd59de152a53ff950e54659d97b111e8sP.jpg
516611688	128803	https://www.ksta.de/panorama/kinderpornografie-deutscher-magier-jan-rouven-in-usa-zu-20-jahren-haft-verurteilt-32123592	https://www.ksta.de/image/24202832/2x1/300/150/867363582f5f25cf76ea7874ceb0c7fe/MH/magier-jan-rouven.jpg	129445	24202832867363582f5f25cf76ea7874ceb0c7feMH	Deutscher Magier Jan Rouven in USA zu 20 Jahren Haft verurteilt	Auf der Bühne in Las Vegas trumpfte Jan Rouven einst als „Der Mann mit den sieben Leben“ auf. Doch keiner seiner spektakulären Tricks kann dem deutschen Magier jetzt noch helfen. Der 41-jährige Illusionist aus Kerpen ist in den USA wegen Besitzes und Verb	24202832867363582f5f25cf76ea7874ceb0c7feMH.jpg
516615441	128804	https://www.ksta.de/panorama/das--schaetzchen--hat-geburtstag-uschi-glas-wird-75---blick-auf-eine-bilderbuchkarriere-32123636	https://www.ksta.de/image/32123646/2x1/300/150/81b402ea66059bc2f98afa48d72808b7/sg/uschi-glas.jpg	129446	3212364681b402ea66059bc2f98afa48d72808b7sg	Uschi Glas wird 75 – Blick auf eine Bilderbuchkarriere	Wenn Uschi Glas heute mit ihrem Verein „brotZeit“ eine Schule besucht, dann geschieht Merkwürdiges. Dann wollen die Schüler plötzlich Selfies mit ihr machen. Früher, so sagt sie im Interview der Deutschen Presse-Agentur, sei sie bei solchen Besuchen nur d	3212364681b402ea66059bc2f98afa48d72808b7sg.jpg
516616809	128806	https://www.ksta.de/sport/mix/baseball-star-bryce-harper-unterschreibt-rekordvertrag-im-us-profisport-32123782	https://www.ksta.de/image/32123790/2x1/300/150/b8fa9203bc30a61c8e43286cd6b4cd00/eg/afp-1e17vi.jpg	129448	32123790b8fa9203bc30a61c8e43286cd6b4cd00eg	Bryce Harper unterschreibt Rekordvertrag im US-Profisport	Baseball-Star Bryce Harper wird laut US-Medienberichten den höchstdotierten Vertrag im nordamerikanischen Profisport unterschreiben. Wie das Internetportal „mlb.com“ am Donnerstag (Ortszeit) berichtete, einigte sich der 26-Jährige mit den Philadelphia Phi	32123790b8fa9203bc30a61c8e43286cd6b4cd00eg.jpg
516618276	128807	https://www.ksta.de/koeln/koelner-suedstadt-kommt-tempo-20-auf-den-strassen-rund-um-den-chlodwigplatz--32109236	https://www.ksta.de/image/31014352/2x1/300/150/b2baf2f436e92263f42cd14adc0e9ae5/TV/chlodwigplatz.jpg	129449	31014352b2baf2f436e92263f42cd14adc0e9ae5TV	Kommt Tempo 20 auf den Straßen rund um den Chlodwigplatz?	Im Rahmen eines Ideenaustauschs bei der städtischen Veranstaltung mit dem Titel „Zukunfts-Rad-Köln“ im Rathaus hat Reinhold Goss, Mitinitiator der Aktion Ring frei, einen Vorschlag zur Beruhigung der Südstadt eingebracht. Demzufolge soll auf sämtlichen St	31014352b2baf2f436e92263f42cd14adc0e9ae5TV.jpg
516618443	128808	https://www.ksta.de/region/rhein-erft/gastro-tipps-diese-restaurants-in-bruehl--huerth-und-frechen-trotzen-den-tollen-tagen-32121886	https://www.ksta.de/image/32121880/2x1/300/150/922aa21e6b66ef4a7364d3072618e362/vg/alt-sielsdorf.jpg	129450	32121880922aa21e6b66ef4a7364d3072618e362vg	Diese Restaurants in Brühl, Hürth und Frechen trotzen den tollen Tagen	Der Karneval lässt manches Herz höherschlagen. Doch es gibt auch im Rheinland Menschen, die mit dem närrischen Treiben wenig anfangen können. Wir haben drei Adressen gefunden, wo man abseits des Karnevals in Ruhe speisen kann.Restaurant Matis, BrühlMarc D	32121880922aa21e6b66ef4a7364d3072618e362vg.jpg
